transaction_id,user_id,merchant_id,channel,transaction_type,amount,currency,transaction_date,status,reference_id
TXN-20240102-28387,USR-001283,MCH-00214,web,pago,1923.97,USD,2024-01-02,aprobado,
TXN-20240102-26199,USR-004124,MCH-00008,pos,reversa,160.7,USD,02/01/2024,aprobado,TXN-20240102-10594
TXN-20240102-32290,USR-006629,MCH-00315,app,pago,14176.33,COP,2024-01-02,aprobado,
TXN-20240102-25074,USR-008470,MCH-00499,pos,retiro,"9.960,83",MXN,2024-01-02,aprobado,
TXN-20240102-22638,USR-009740,MCH-00119,web,retiro,338.39,SOL,2024-01-02,aprobado,
TXN-20240102-29556,USR-000480,MCH-00199,pos,pago,4320.66,MXN,2024-01-02,aprobado,
TXN-20240102-29477,USR-002633,MCH-00365,app,pago,4924.25,MXN,2024-01-02,pendiente,
TXN-20240102-32766,USR-006016,MCH-00406,web,pago,9212.2,COP,2024-01-02,aprobado,
TXN-20240102-28684,USR-006640,MCH-00159,pos,pago,295.18,US$,02/01/2024,pendiente,
TXN-20240102-22823,USR-000255,MCH-00112,pos,pago,"547,61",ARS,02/01/2024,aprobado,
TXN-20240102-25602,USR-002569,MCH-00253,pos,pago,,CLP,2024-01-02,aprobado,
TXN-20240102-32728,USR-004154,MCH-00258,WEB,pago,628.5,MXN,2024-01-02,aprobado,
TXN-20240102-33739,USR-000480,MCH-00240,pos,pago,10545.03,USD,2024-01-02,aprobado,
TXN-20240102-30836,USR-003234,MCH-00424,app,pago,10245.13,CLP,2024-01-02,pendiente,
TXN-20240102-31448,USR-006815,MCH-00244,WEB,pago,12402.98,ARS,02/01/2024,aprobado,
TXN-20240102-19523,USR-009442,MCH-00025,web,pago,13662.17,ARS,2024-01-02,aprobado,
TXN-20240102-32854,USR-004652,MCH-00081,pos,pago,11221.77,US$,02/01/2024,aprobado,
TXN-20240102-25580,USR-003455,MCH-00312,pos,reversa,8751.46,MXN,02/01/2024,rechazado,TXN-20240102-22481
TXN-20240102-22497,USR-006493,MCH-00109,pos,pago,3303.8,CLP,02/01/2024,aprobado,
TXN-20240102-28033,USR-003266,MCH-00207,web,pago,3054.87,MXN,2024-01-02,aprobado,
TXN-20240102-19370,USR-009451,MCH-00019,app,pago,492.04,ARS,02/01/2024,aprobado,
TXN-20240102-20653,USR-000853,MCH-00123,app,pago,14817.09,ARS,2024-01-02,pendiente,
TXN-20240102-28869,USR-004229,MCH-00413,pos,pago,14998.22,COP,2024-01-02,null,
TXN-20240102-30364,USR-003051,MCH-00063,App,reversa,1617.84,ARS,2024-01-02,aprobado,
TXN-20240102-24746,USR-005895,MCH-00129,web,reversa,14979.52,MXN,2024-01-02,aprobado,
TXN-20240102-20354,USR-001908,MCH-00263,app,reversa,"6.014,51",COP,2024-01-02,PROCESADO,
TXN-20240102-22474,USR-008136,MCH-00205,pos,pago,12053.99,USD,02/01/2024,aprobado,
TXN-20240102-31002,USR-003782,MCH-00475,app,pago,13560.37,MXN,02/01/2024,aprobado,
TXN-20240102-33996,USR-005436,MCH-00138,web,pago,12306.93,USD,02/01/2024,aprobado,
TXN-20240102-20791,USR-000610,MCH-00008,app,REVERSA,2399.24,US$,2024-01-02,aprobado,TXN-20240102-15960
TXN-20240102-26828,USR-002484,MCH-00362,app,reversa,12905.24,SOLES,2024-01-02,rechazado,TXN-20240102-18068
TXN-20240102-31132,USR-007286,MCH-00446,web,pago,8847.01,SOLES,2024-01-02,PROCESADO,
TXN-20240102-19322,USR-000630,MCH-00457,web,pago,3235.55,PEN,2024-01-02,aprobado,
TXN-20240102-26174,USR-008517,MCH-00298,web,retiro,6182.56,USD,2024-01-02,aprobado,
TXN-20240102-26783,USR-002678,MCH-00361,pos,pago,7866.73,ARS,2024-01-02,PROCESADO,
TXN-20240102-29256,USR-004950,MCH-00240,web,pago,13467.86,ARS,2024-01-02,aprobado,
TXN-20240102-24932,USR-007462,MCH-00351,app,Pago,"633,12",MXN,2024-01-02,pendiente,
TXN-20240102-25129,USR-000934,MCH-00082,app,pago,6877.07,COP,2024-01-02,aprobado,
TXN-20240102-27524,USR-004814,MCH-00011,pos,PAGO,12672.53,COP,02/01/2024,aprobado,
TXN-20240102-24938,USR-000364,MCH-00489,app,pago,,PEN,02/01/2024,aprobado,
TXN-20240102-29416,USR-004891,MCH-00456,pos,pago,415.81,COP,2024-01-02,APROBADO,
TXN-20240102-26223,USR-008145,MCH-00463,pos,retiro,14497.14,MXN,2024-01-02,Aprobado,
TXN-20240102-21662,USR-002163,MCH-00171,POS,pago,1228.83,ARS,2024-01-02,aprobado,
TXN-20240102-21619,USR-007173,MCH-00240,pos,pago,2652.17,CLP,2024-01-02,pendiente,
TXN-20240102-26687,USR-000972,MCH-00459,app,pago,8638.37,USD,02/01/2024,aprobado,
TXN-20240102-32918,USR-009387,MCH-00297,app,Reversa,,MXN,02/01/2024,aprobado,TXN-20240102-10871
TXN-20240102-27610,USR-003740,MCH-00011,pos,pago,13641.15,PEN,2024-01-02,aprobado,
TXN-20240102-30602,USR-002730,MCH-00213,pos,pago,5881.62,SOL,02/01/2024,aprobado,
TXN-20240102-31181,USR-004160,MCH-00062,web,pago,6721.37,SOL,2024-01-02,aprobado,
TXN-20240102-24171,USR-002966,MCH-00130,pos,reversa,8650.23,ARS,02/01/2024,aprobado,TXN-20240102-02858
TXN-20240102-22607,USR-001782,MCH-00290,pos,reversa,14179.38,USD,02/01/2024,null,TXN-20240102-08889
TXN-20240102-21386,USR-007982,MCH-00153,app,pago,9205.07,PEN,02/01/2024,aprobado,
TXN-20240102-32470,USR-007352,MCH-00024,web,pago,13579.5,PEN,2024-01-02,PROCESADO,
TXN-20240102-18527,USR-000480,MCH-00107,web,pago,4836.99,CLP,02/01/2024,aprobado,
TXN-20240102-27835,USR-006255,MCH-00174,pos,pago,1709.62,ARS,2024-01-02,aprobado,
TXN-20240102-27823,USR-001144,MCH-00020,pos,retiro,10646.67,PEN,02/01/2024,aprobado,
